Year,MonthStart,MonthEnd,Location,Total,16-29,30-49,50-64,>65,Female,Male,Hispanic,Asian,Black,White,Other
2023,January,March,VT,62.4,,,,,,,,,,,,
2023,January,March,VA,78.9,,,,,,,,,,,,
2023,January,March,WA,80.6,,,,,,,,,,,,
2023,January,March,WV,81.4,,,,,,,,,,,,
2023,January,March,WI,79.8,,,,,,,,,,,,
2023,January,March,WY,84.7,,,,,,,,,,,,
2023,April,June,US,84.0,89.2,89.2,83.7,70.4,83.8,84.1,85.7,76.7,84.9,83.9,88.5
2023,April,June,AL,88.1,,,,,,,,,,,,
2023,April,June,AZ,87.5,,,,,,,,,,,,
2023,April,June,AR,,,,,,,,,,,,,
2023,April,June,CA,78.2,,,,,,,,,,,,
2023,April,June,CO,84.5,,,,,,,,,,,,
2023,April,June,CT,78.5,,,,,,,,,,,,
2023,April,June,DC,,,,,,,,,,,,,
2023,April,June,DE,,,,,,,,,,,,,
2023,April,June,FL,,,,,,,,,,,,,
2023,April,June,GA,85.0,,,,,,,,,,,,
2023,April,June,ID,84.7,,,,,,,,,,,,
2023,April,June,IL,88.1,,,,,,,,,,,,
2023,April,June,IN,85.4,,,,,,,,,,,,
2023,April,June,IA,90.3,,,,,,,,,,,,
2023,April,June,KS,91.0,,,,,,,,,,,,
2023,April,June,KY,88.1,,,,,,,,,,,,
2023,April,June,LA,90.9,,,,,,,,,,,,
2023,April,June,ME,78.8,,,,,,,,,,,,
2023,April,June,MD,81.0,,,,,,,,,,,,
2023,April,June,MA,79.7,,,,,,,,,,,,
2023,April,June,MI,84.7,,,,,,,,,,,,
2023,April,June,MN,87.4,,,,,,,,,,,,
2023,April,June,MS,95.3,,,,,,,,,,,,
2023,April,June,MO,89.5,,,,,,,,,,,,
2023,April,June,MT,87.2,,,,,,,,,,,,
2023,April,June,NE,88.4,,,,,,,,,,,,
2023,April,June,NV,88.6,,,,,,,,,,,,
2023,April,June,NH,79.2,,,,,,,,,,,,
2023,April,June,NJ,86.2,,,,,,,,,,,,
2023,April,June,NM,79.2,,,,,,,,,,,,
2023,April,June,NY,78.5,,,,,,,,,,,,
2023,April,June,NC,78.9,,,,,,,,,,,,
2023,April,June,ND,91.2,,,,,,,,,,,,
2023,April,June,OH,86.5,,,,,,,,,,,,
2023,April,June,OK,89.2,,,,,,,,,,,,
2023,April,June,OR,74.8,,,,,,,,,,,,
2023,April,June,PA,86.0,,,,,,,,,,,,
2023,April,June,RI,,,,,,,,,,,,,
2023,April,June,SC,82.1,,,,,,,,,,,,
2023,April,June,SD,91.7,,,,,,,,,,,,
2023,April,June,TN,89.1,,,,,,,,,,,,
2023,April,June,TX,89.3,,,,,,,,,,,,
2023,April,June,UT,88.1,,,,,,,,,,,,
2023,April,June,VT,65.1,,,,,,,,,,,,
2023,April,June,VA,79.4,,,,,,,,,,,,
2023,April,June,WA,84.5,,,,,,,,,,,,
2023,April,June,WV,83.2,,,,,,,,,,,,
2023,April,June,WI,82.6,,,,,,,,,,,,
2023,April,June,WY,87.4,,,,,,,,,,,,
2023,July,September,US,84.6,89.2,89.5,84.3,72.1,84.9,84.3,88.4,78.9,84.0,84.2,89.4
2023,July,September,AL,85.1,,,,,,,,,,,,
2023,July,September,AZ,79.4,,,,,,,,,,,,
2023,July,September,AR,,,,,,,,,,,,,
2023,July,September,CA,79.4,,,,,,,,,,,,
2023,July,September,CO,81.8,,,,,,,,,,,,
2023,July,September,CT,81.3,,,,,,,,,,,,
2023,July,September,DC,,,,,,,,,,,,,
2023,July,September,DE,,,,,,,,,,,,,
2023,July,September,FL,,,,,,,,,,,,,
2023,July,September,GA,87.4,,,,,,,,,,,,
2023,July,September,ID,86.1,,,,,,,,,,,,
2023,July,September,IL,84.4,,,,,,,,,,,,
2023,July,September,IN,81.1,,,,,,,,,,,,
2023,July,September,IA,90.9,,,,,,,,,,,,
2023,July,September,KS,90.8,,,,,,,,,,,,
2023,July,September,KY,89.1,,,,,,,,,,,,
2023,July,September,LA,96.1,,,,,,,,,,,,
2023,July,September,ME,81.6,,,,,,,,,,,,
2023,July,September,MD,85.6,,,,,,,,,,,,
2023,July,September,MA,80.6,,,,,,,,,,,,
2023,July,September,MI,85.0,,,,,,,,,,,,
2023,July,September,MN,86.9,,,,,,,,,,,,
2023,July,September,MS,93.2,,,,,,,,,,,,
2023,July,September,MO,85.7,,,,,,,,,,,,
2023,July,September,MT,88.5,,,,,,,,,,,,
2023,July,September,NE,87.8,,,,,,,,,,,,
2023,July,September,NV,88.5,,,,,,,,,,,,
2023,July,September,NH,79.0,,,,,,,,,,,,
2023,July,September,NJ,87.9,,,,,,,,,,,,
2023,July,September,NM,83.2,,,,,,,,,,,,
2023,July,September,NY,82.6,,,,,,,,,,,,
2023,July,September,NC,80.2,,,,,,,,,,,,
2023,July,September,ND,92.2,,,,,,,,,,,,
2023,July,September,OH,86.7,,,,,,,,,,,,
2023,July,September,OK,91.9,,,,,,,,,,,,
2023,July,September,OR,74.8,,,,,,,,,,,,
2023,July,September,PA,88.1,,,,,,,,,,,,
2023,July,September,RI,,,,,,,,,,,,,
2023,July,September,SC,84.2,,,,,,,,,,,,
2023,July,September,SD,88.5,,,,,,,,,,,,
2023,July,September,TN,88.5,,,,,,,,,,,,
2023,July,September,TX,89.0,,,,,,,,,,,,
2023,July,September,UT,90.5,,,,,,,,,,,,
2023,July,September,VT,72.8,,,,,,,,,,,,
2023,July,September,VA,81.2,,,,,,,,,,,,
2023,July,September,WA,82.9,,,,,,,,,,,,
2023,July,September,WV,84.4,,,,,,,,,,,,
2023,July,September,WI,80.9,,,,,,,,,,,,
2023,July,September,WY,87.7,,,,,,,,,,,,
2023,October,December,US,87.2,88.8,91.8,87.1,76.4,87.7,86.7,90.1,84.1,89.6,86.8,87.4
2023,October,December,AL,91.9,,,,,,,,,,,,
2023,October,December,AZ,90.0,,,,,,,,,,,,
2023,October,December,AR,,,,,,,,,,,,,
2023,October,December,CA,84.2,,,,,,,,,,,,
2023,October,December,CO,85.9,,,,,,,,,,,,
2023,October,December,CT,86.3,,,,,,,,,,,,
2023,October,December,DC,,,,,,,,,,,,,
2023,October,December,DE,,,,,,,,,,,,,
2023,October,December,FL,,,,,,,,,,,,,
2023,October,December,GA,91.9,,,,,,,,,,,,
2023,October,December,ID,87.1,,,,,,,,,,,,
2023,October,December,IL,89.3,,,,,,,,,,,,
2023,October,December,IN,84.7,,,,,,,,,,,,
2023,October,December,IA,85.8,,,,,,,,,,,,
2023,October,December,KS,92.0,,,,,,,,,,,,
2023,October,December,KY,91.2,,,,,,,,,,,,
2023,October,December,LA,95.1,,,,,,,,,,,,
2023,October,December,ME,84.2,,,,,,,,,,,,
2023,October,December,MD,84.2,,,,,,,,,,,,
2023,October,December,MA,84.6,,,,,,,,,,,,
2023,October,December,MI,86.5,,,,,,,,,,,,
2023,October,December,MN,88.9,,,,,,,,,,,,
2023,October,December,MS,92.2,,,,,,,,,,,,
2023,October,December,MO,87.0,,,,,,,,,,,,
2023,October,December,MT,86.9,,,,,,,,,,,,
2023,October,December,NE,90.2,,,,,,,,,,,,
2023,October,December,NV,92.5,,,,,,,,,,,,
2023,October,December,NH,79.7,,,,,,,,,,,,
2023,October,December,NJ,88.7,,,,,,,,,,,,
2023,October,December,NM,87.1,,,,,,,,,,,,
2023,October,December,NY,83.4,,,,,,,,,,,,
2023,October,December,NC,85.6,,,,,,,,,,,,
2023,October,December,ND,92.7,,,,,,,,,,,,
2023,October,December,OH,88.5,,,,,,,,,,,,
2023,October,December,OK,92.5,,,,,,,,,,,,
2023,October,December,OR,80.5,,,,,,,,,,,,
2023,October,December,PA,90.4,,,,,,,,,,,,
2023,October,December,RI,,,,,,,,,,,,,
2023,October,December,SC,83.5,,,,,,,,,,,,
2023,October,December,SD,92.3,,,,,,,,,,,,
2023,October,December,TN,89.9,,,,,,,,,,,,
2023,October,December,TX,91.7,,,,,,,,,,,,
2023,October,December,UT,90.1,,,,,,,,,,,,
2023,October,December,VT,73.8,,,,,,,,,,,,
2023,October,December,VA,81.4,,,,,,,,,,,,
2023,October,December,WA,88.0,,,,,,,,,,,,
2023,October,December,WV,82.7,,,,,,,,,,,,
2023,October,December,WI,86.3,,,,,,,,,,,,
2023,October,December,WY,84.0,,,,,,,,,,,,
